ID,Project_Valuation
154239P0019,393.5780978
129270P0090,386.3048042
152329P0060,373.8762244
118217P0020,70.77110018
118896P0020,422.7566253
15167P00200,390.3168293
130197P0024,174.4429673
18083P00900,382.6375005
127606P0022,388.4512553
121719P0015,312.0898079
128116P0016,427.7465131
155951P0070,358.7017643
17814P00130,344.8764918
110749P0050,285.9381193
112533P0024,431.7883688
15874P00700,365.4870587
139445P0060,430.4986559
152390P0020,376.486899
141371P0014,154.4566688
16682P00300,422.3722685
111633P0090,409.1073625
143467P0023,393.8628375
119927P0019,367.5538863
135054P0080,462.1113114
125979P0010,232.5614896
110891P0070,371.7607091
148060P0021,349.8418379
18360P00240,383.811179
117377P0018,84.42395591
121175P0080,319.2894086
141140P0018,403.4061578
12631P00230,404.1454557
129249P0015,368.169182
129900P0018,146.9413006
146851P0016,176.7842536
117293P0015,136.1467878
150654P0015,443.7676006
121789P0080,388.3887238
133288P0020,164.1673247
143723P0025,382.2836983
150143P0012,336.2242847
121590P0014,379.8023392
144726P0025,359.1649108
140578P0011,248.7998631
140588P0070,403.3413504
154083P0040,392.6111701
141593P0020,20.28011725
117305P0016,143.7213333
139960P0012,355.6462134
151255P0090,360.6636007
19788P00700,139.1590146
112718P0022,401.8548839
155456P0015,339.7542303
151120P0080,407.4500721
146965P0012,410.6029407
113855P0070,334.0137155
149488P0010,139.8521305
154041P0021,148.0619827
153304P0010,391.7795918
14155P00250,333.2661316
12820P00190,345.4920177
111808P0070,386.7957145
133506P0016,342.8734415
154135P0016,164.5251933
114335P0013,343.4372744
141351P0013,318.4506771
149505P0024,538.2935259
120975P0015,253.4785083
117104P0080,174.7184642
125285P0014,790.0510162
115037P0050,749.8319836
131223P0050,136.3999529
148226P0018,355.5795364
130173P0020,439.9109077
116478P0011,432.7664401
17342P00500,386.7575101
113587P0010,441.4706222
131045P0017,144.2096126
133412P0020,377.8674338
13472P00210,288.5695858
113095P0010,352.8860064
150651P0013,308.4332039
152930P0014,279.5929672
120155P0017,1294.06158
132571P0013,397.0014316
144427P0050,367.6371628
112559P0025,321.8980391
114939P0017,438.6921751
133700P0022,192.9177117
133782P0015,351.4465215
144480P0011,413.5202882
148954P0012,460.3459786
140470P0018,347.6145169
142332P0014,459.641302
110462P0018,420.0316864
141536P0050,157.9592433
120062P0070,146.1399967
128024P0012,465.5882949
128795P0019,442.9577011
135110P0017,319.738698
149552P0014,460.517598
19668P00800,359.6649728
131074P0013,365.1825944
152641P0014,431.6833093
147208P0014,336.486344
15823P00600,301.4616846
16514P00700,184.5120954
121396P0019,369.7989658
15189P00230,360.8007309
112218P0016,174.9799086
136695P0023,373.6680871
137638P0015,378.6206802
153728P0070,418.1589722
123015P0022,422.670483
135176P0025,145.821969
145874P0040,434.0911187
18447P00110,375.0488835
117714P0013,265.8894243
114500P0060,178.3617364
141088P0060,393.232347
142045P0050,320.4680682
112845P0011,272.8541329
155402P0016,184.178942
146581P0050,389.5192587
135478P0023,436.1037331
155098P0080,390.1261009
135622P0010,167.8256428
152048P0022,413.1263292
136470P0030,388.9565772
133361P0010,770.8752556
132034P0025,393.6512082
1143P004000,463.5994861
17028P00150,360.5168975
122562P0015,284.2063294
148594P0018,365.1018959
126907P0040,434.8195903
153636P0013,417.8845947
137115P0017,400.7081129
13796P00120,372.2001762
157117P0010,387.4927818
134996P0015,306.2122865
127411P0030,361.8214392
112399P0013,385.1900356
145042P0017,159.9030976
115260P0017,349.3443307
11432P00250,412.6397041
137460P0070,399.3708629
19625P00140,419.2929962
144982P0019,170.5426668
141252P0090,423.3009623
142966P0015,376.9311762
152471P0030,0
152698P0020,439.4852842
147537P0010,340.5572937
