ID,Project_Valuation
154239P0019,392.9017585
129270P0090,403.8067464
152329P0060,381.5361004
118217P0020,24.50232892
118896P0020,474.7408434
15167P00200,402.5716232
130197P0024,69.03929587
18083P00900,404.5666778
127606P0022,418.328779
121719P0015,325.251775
128116P0016,452.7087936
155951P0070,370.7187667
17814P00130,340.9595634
110749P0050,341.8656754
112533P0024,445.256393
15874P00700,378.9452963
139445P0060,440.1720715
152390P0020,413.1533573
141371P0014,48.07974813
16682P00300,469.1953308
111633P0090,417.5573026
143467P0023,402.1222198
119927P0019,370.3298163
135054P0080,495.1449442
125979P0010,322.6052991
110891P0070,380.9504756
148060P0021,353.4081532
18360P00240,402.4964503
117377P0018,28.15168835
121175P0080,329.232425
141140P0018,423.3030058
12631P00230,427.0873863
129249P0015,368.7392717
129900P0018,46.97553663
146851P0016,67.71155841
117293P0015,41.5344123
150654P0015,466.2506672
121789P0080,415.9291824
133288P0020,63.98515105
143723P0025,374.8457079
150143P0012,344.4210129
121590P0014,381.2389125
144726P0025,364.6657329
140578P0011,155.5439165
140588P0070,423.3410093
154083P0040,391.7825699
141593P0020,21.63212507
117305P0016,43.0174908
139960P0012,376.5915637
151255P0090,366.6199084
19788P00700,44.52082657
112718P0022,414.2515644
155456P0015,229.9147303
151120P0080,410.7567659
146965P0012,432.4834819
113855P0070,348.1916669
149488P0010,45.00375597
154041P0021,45.86226683
153304P0010,438.695991
14155P00250,345.1353915
12820P00190,351.9683523
111808P0070,418.4944014
133506P0016,244.0734585
154135P0016,52.9430415
114335P0013,349.8176293
141351P0013,305.4428969
149505P0024,636.1641774
120975P0015,258.4210205
117104P0080,68.126663
125285P0014,826.8367307
115037P0050,784.9872273
131223P0050,56.6883084
148226P0018,363.9444122
130173P0020,494.6069522
116478P0011,453.8212084
17342P00500,388.5484424
113587P0010,477.1622833
131045P0017,44.7986451
133412P0020,374.9148095
13472P00210,301.9749002
113095P0010,368.1484677
150651P0013,316.7266471
152930P0014,326.3904329
120155P0017,1792.854394
132571P0013,413.9293293
144427P0050,380.5481757
112559P0025,333.8948612
114939P0017,490.6815583
133700P0022,72.25848064
133782P0015,358.8368759
144480P0011,433.5505533
148954P0012,321.9679472
140470P0018,359.3277094
142332P0014,515.5450664
110462P0018,433.5369316
141536P0050,60.02481117
120062P0070,55.85736211
128024P0012,493.6978129
128795P0019,491.6498892
135110P0017,381.4523302
149552P0014,490.9734158
19668P00800,359.1161224
131074P0013,376.9277624
152641P0014,451.3696797
147208P0014,347.6222411
15823P00600,169.8355104
16514P00700,235.4109407
121396P0019,372.9257785
15189P00230,375.0203575
112218P0016,68.41536126
136695P0023,388.6262481
137638P0015,390.9031889
153728P0070,436.9605484
123015P0022,467.605518
135176P0025,57.82336498
145874P0040,491.3114998
18447P00110,390.9761828
117714P0013,275.83889
114500P0060,68.21142721
141088P0060,416.6244897
142045P0050,330.3020176
112845P0011,278.9983028
155402P0016,69.97423488
146581P0050,398.0949269
135478P0023,463.4472189
155098P0080,389.221796
135622P0010,52.95970077
152048P0022,418.9633139
136470P0030,405.0278136
133361P0010,813.8209419
132034P0025,424.1147398
1143P004000,507.0447535
17028P00150,376.9294639
122562P0015,306.5579304
148594P0018,371.7003086
126907P0040,448.2571286
153636P0013,441.2806516
137115P0017,419.7326084
13796P00120,379.3300047
157117P0010,270.9167413
134996P0015,309.9463621
127411P0030,376.6401645
112399P0013,405.171662
145042P0017,183.6806828
115260P0017,360.4202239
11432P00250,429.6192592
137460P0070,423.9265121
19625P00140,451.4377307
144982P0019,65.9932043
141252P0090,441.9754134
142966P0015,395.8739739
152471P0030,0
152698P0020,452.6390786
