ID,Project_Valuation
154239P0019,396.1142361
129270P0090,405.1561333
152329P0060,380.5641647
118217P0020,18.37674669
118896P0020,471.8723375
15167P00200,401.6299447
130197P0024,65.52902473
18083P00900,404.3313291
127606P0022,412.3263607
121719P0015,320.1372368
128116P0016,453.5717569
155951P0070,363.5401373
17814P00130,341.7282925
110749P0050,323.7742493
112533P0024,442.2590738
15874P00700,378.1464463
139445P0060,436.8423004
152390P0020,406.5148647
141371P0014,36.0598111
16682P00300,469.4569226
111633P0090,416.5367063
143467P0023,400.1254912
119927P0019,369.9177768
135054P0080,491.8909123
125979P0010,255.6177437
110891P0070,380.9376682
148060P0021,352.867834
18360P00240,402.4236232
117377P0018,21.11376626
121175P0080,323.990421
141140P0018,421.9596241
12631P00230,425.1503259
129249P0015,368.3576421
129900P0018,35.23165248
146851P0016,64.39249221
117293P0015,31.15080923
150654P0015,462.9790791
121789P0080,409.1898846
133288P0020,61.04474953
143723P0025,383.1576498
150143P0012,343.7358584
121590P0014,381.3256824
144726P0025,363.4369275
140578P0011,175.2806878
140588P0070,421.1526739
154083P0040,391.9157674
141593P0020,16.2240938
117305P0016,32.2631181
139960P0012,375.2817462
151255P0090,366.3659853
19788P00700,33.39061993
112718P0022,412.6980583
155456P0015,266.511611
151120P0080,408.9742957
146965P0012,429.7410535
113855P0070,341.6996137
149488P0010,33.75281698
154041P0021,34.39670013
153304P0010,426.9700845
14155P00250,338.9614062
12820P00190,352.2535617
111808P0070,414.964696
133506P0016,276.5439935
154135P0016,39.70728113
114335P0013,348.5960604
141351P0013,317.1902851
149505P0024,622.4983437
120975P0015,250.2875565
117104P0080,64.8802239
125285P0014,817.0327217
115037P0050,770.3857506
131223P0050,55.31617687
148226P0018,358.5241699
130173P0020,486.3472264
116478P0011,451.4672325
17342P00500,388.136993
113587P0010,473.3225936
131045P0017,33.59898383
133412P0020,375.1681064
13472P00210,288.3243285
113095P0010,362.1629187
150651P0013,312.3687139
152930P0014,302.2649363
120155P0017,1745.859139
132571P0013,412.3377515
144427P0050,379.6442428
112559P0025,316.8742267
114939P0017,482.240707
133700P0022,67.38438365
133782P0015,352.1736004
144480P0011,430.4711835
148954P0012,372.8675504
140470P0018,358.739247
142332P0014,505.7321521
110462P0018,431.0838247
141536P0050,57.6918259
120062P0070,54.55392663
128024P0012,490.5678268
128795P0019,483.4905407
135110P0017,367.7217896
149552P0014,485.7608803
19668P00800,359.3434487
131074P0013,376.4644078
152641P0014,451.6213098
147208P0014,343.5678998
15823P00600,215.2489113
16514P00700,176.5582055
121396P0019,373.9221364
15189P00230,374.8921678
112218P0016,65.1451005
136695P0023,387.8764644
137638P0015,384.5927825
153728P0070,440.2063671
123015P0022,459.7394584
135176P0025,56.08569656
145874P0040,483.0158522
18447P00110,389.7872184
117714P0013,263.3199461
114500P0060,64.9078111
141088P0060,408.8368722
142045P0050,324.4383713
112845P0011,270.5698825
155402P0016,66.21708869
146581P0050,396.8131918
135478P0023,460.1376772
155098P0080,388.6695235
135622P0010,39.71977558
152048P0022,424.7637652
136470P0030,403.6354633
133361P0010,798.6183998
132034P0025,422.7068627
1143P004000,508.2830936
17028P00150,376.2979968
122562P0015,277.8326961
148594P0018,370.8969603
126907P0040,444.0838617
153636P0013,430.6424442
137115P0017,417.4249395
13796P00120,378.9279608
157117P0010,305.3235064
134996P0015,305.5419109
127411P0030,376.6545445
112399P0013,403.1323199
145042P0017,150.2807714
115260P0017,360.6095988
11432P00250,428.1943362
137460P0070,415.3742843
19625P00140,450.9042908
144982P0019,62.92841492
141252P0090,439.1194685
142966P0015,387.5211107
152471P0030,0
152698P0020,448.878844
147537P0010,349.7389488
131342P0015,41.43779878
137767P0025,376.1233355
121689P0040,348.6848341
125150P0090,357.2480281
151314P0017,379.5093556
114599P0060,389.1964351
128841P0016,378.8574216
14510P00180,211.4257015
114690P0013,368.1550767
154766P0025,414.4443361
114898P0017,358.5357226
120161P0015,354.2009168
125505P0013,344.8783353
150700P0025,358.5791988
113346P0011,512.7128767
138729P0030,392.5368259
156966P0025,314.3037281
148083P0011,402.9977985
151601P0024,26.73297555
155746P0040,36.44071608
113468P0040,318.6463463
124925P0019,358.8729327
122857P0060,369.5664862
128316P0023,422.170459
15998P00110,216.8344007
152393P0019,421.9009399
148301P0030,379.627858
125310P0080,473.8225441
152496P0020,472.7372031
155517P0030,477.9903314
