ID,Project_Valuation
154239P0019,405.8190717
129270P0090,409.4999431
152329P0060,377.6197197
118217P0020,0
118896P0020,463.731671
15167P00200,398.5110539
130197P0024,55.10841601
18083P00900,404.6534215
127606P0022,394.5738926
121719P0015,304.8969664
128116P0016,456.1907759
155951P0070,342.4593831
17814P00130,344.005214
110749P0050,269.2144021
112533P0024,432.9946984
15874P00700,376.8102522
139445P0060,426.1256763
152390P0020,386.6648024
141371P0014,0
16682P00300,471.0111517
111633P0090,413.0878049
143467P0023,394.3647931
119927P0019,368.0378203
135054P0080,482.2332726
125979P0010,54.71318355
110891P0070,380.680607
148060P0021,351.1695965
18360P00240,402.6173989
117377P0018,0
121175P0080,308.5415258
141140P0018,418.0925807
12631P00230,419.1227204
129249P0015,366.6325054
129900P0018,0
146851P0016,54.30097742
117293P0015,0
150654P0015,453.094105
121789P0080,388.8918326
133288P0020,52.43274974
143723P0025,347.7496269
150143P0012,341.5179551
121590P0014,381.1430723
144726P0025,359.7970943
140578P0011,234.1382604
140588P0070,414.6668912
154083P0040,391.6604074
141593P0020,0
117305P0016,0
139960P0012,371.6698274
151255P0090,365.6019671
19788P00700,0
112718P0022,407.7349711
155456P0015,376.3022529
151120P0080,403.113467
146965P0012,421.1631332
113855P0070,322.3803945
149488P0010,0
154041P0021,0
153304P0010,391.792365
14155P00250,320.6434694
12820P00190,352.8019032
111808P0070,404.9677844
133506P0016,374.6032823
154135P0016,0
114335P0013,345.0782521
141351P0013,290.5046097
149505P0024,581.5977671
120975P0015,225.6476293
117104P0080,55.32498479
125285P0014,786.524471
115037P0050,725.1283689
131223P0050,51.52487281
148226P0018,342.0712161
130173P0020,461.6436785
116478P0011,443.8113997
17342P00500,386.3745953
113587P0010,462.9853156
131045P0017,0
133412P0020,375.4666102
13472P00210,246.9542142
113095P0010,344.3446778
150651P0013,299.1845628
152930P0014,229.8884463
120155P0017,1606.609302
132571P0013,407.4313897
144427P0050,377.4999114
112559P0025,265.3478329
114939P0017,457.1434617
133700P0022,52.97046182
133782P0015,332.178007
144480P0011,421.1514133
148954P0012,525.5620836
140470P0018,356.927436
