ID,Project_Valuation
154239P0019,372.5186388
129270P0090,366.8995819
152329P0060,363.6708475
118217P0020,73.50698676
118896P0020,385.8895952
15167P00200,377.4775473
130197P0024,152.0094716
18083P00900,361.7119366
127606P0022,345.0372618
121719P0015,286.2773287
128116P0016,400.7497374
155951P0070,325.6276472
17814P00130,337.4246095
110749P0050,139.7443848
112533P0024,413.4583549
15874P00700,351.9407335
139445P0060,423.6778064
152390P0020,331.7140282
141371P0014,144.2392444
16682P00300,388.1150818
111633P0090,396.2122485
143467P0023,386.9984457
119927P0019,364.6916657
135054P0080,434.4932457
125979P0010,156.7571892
110891P0070,359.5935572
148060P0021,343.2190552
18360P00240,364.7387786
117377P0018,84.45506505
121175P0080,287.5720944
141140P0018,387.006659
12631P00230,384.2496794
129249P0015,363.5885112
129900P0018,140.9266099
146851P0016,148.8336978
117293P0015,124.6032369
150654P0015,426.596972
121789P0080,341.1088186
133288P0020,139.5227034
143723P0025,332.4249239
150143P0012,329.1295005
121590P0014,375.9438992
144726P0025,356.2292335
140578P0011,232.4934891
140588P0070,390.9412662
154083P0040,385.0915774
141593P0020,64.89637521
117305P0016,129.0524724
139960P0012,344.9656163
151255P0090,353.6804165
19788P00700,133.5624797
112718P0022,384.7945869
155456P0015,313.441938
151120P0080,398.8023659
146965P0012,395.9330338
113855P0070,312.0687953
149488P0010,135.0112679
154041P0021,137.5868005
153304P0010,320.822283
14155P00250,306.2471734
12820P00190,337.1908398
111808P0070,369.5400107
133506P0016,357.6170933
154135P0016,158.8291245
114335P0013,340.5969607
141351P0013,278.826656
149505P0024,447.9421664
120975P0015,220.6529897
117104P0080,149.0550042
125285P0014,714.6053568
115037P0050,696.4354668
131223P0050,118.5400524
148226P0018,319.0157887
130173P0020,375.9992444
116478P0011,413.4532685
17342P00500,384.0653283
113587P0010,416.2743406
131045P0017,134.3959353
133412P0020,368.2792512
13472P00210,252.783389
113095P0010,323.7474801
150651P0013,284.4719986
152930P0014,147.8926264
120155P0017,952.6123026
132571P0013,382.9386896
144427P0050,361.4865871
112559P0025,288.4664267
114939P0017,381.3769781
133700P0022,163.8049801
133782P0015,325.6582487
144480P0011,400.2719278
148954P0012,440.341758
140470P0018,346.0733848
142332P0014,404.8582481
110462P0018,404.5632545
141536P0050,129.1268973
120062P0070,116.9073723
128024P0012,446.8050177
128795P0019,390.1313339
135110P0017,148.3964691
149552P0014,437.1038779
19668P00800,347.4417358
131074P0013,355.9860118
152641P0014,399.3628765
147208P0014,309.1767544
15823P00600,157.4900249
16514P00700,141.8942609
121396P0019,362.0259424
15189P00230,344.1927979
112218P0016,149.6948339
136695P0023,364.6276677
137638P0015,349.7592924
153728P0070,396.1434035
123015P0022,370.4940809
135176P0025,122.7058554
145874P0040,378.4475041
18447P00110,364.8105112
117714P0013,233.9290162
114500P0060,149.5399126
141088P0060,359.9813605
142045P0050,301.7761581
112845P0011,240.6573817
155402P0016,154.9751013
146581P0050,379.3195066
135478P0023,414.5649277
155098P0080,384.8230414
135622P0010,158.8791023
152048P0022,353.56854
136470P0030,377.2644329
133361P0010,707.0621254
132034P0025,371.0674604
1143P004000,427.4420638
17028P00150,350.8831699
122562P0015,273.7516606
148594P0018,360.0078122
126907P0040,420.0678389
153636P0013,376.8864477
137115P0017,386.9592857
13796P00120,360.7588683
157117P0010,404.938239
134996P0015,286.0799196
127411P0030,347.7561108
112399P0013,377.6878383
145042P0017,107.6067819
