ID,Project_Valuation
154239P0019,333.8113115
129270P0090,334.2926909
152329P0060,333.7532813
118217P0020,0
118896P0020,329.5048295
15167P00200,338.3428276
130197P0024,0
18083P00900,333.438205
127606P0022,159.1104105
121719P0015,155.301849
128116P0016,333.9957326
155951P0070,157.0246207
17814P00130,333.4850519
110749P0050,0
112533P0024,340.4463526
15874P00700,332.6447022
139445P0060,347.5363969
152390P0020,155.4930691
141371P0014,0
16682P00300,327.6345852
111633P0090,339.3724482
143467P0023,334.1674347
119927P0019,342.1064508
135054P0080,349.9843512
125979P0010,0
110891P0070,338.6634627
148060P0021,330.5686789
18360P00240,328.434791
117377P0018,0
121175P0080,154.34915
141140P0018,339.3256468
12631P00230,335.4952174
129249P0015,338.6124902
129900P0018,0
146851P0016,0
117293P0015,0
150654P0015,354.3671267
121789P0080,159.9793851
133288P0020,0
143723P0025,156.0279163
150143P0012,332.9372652
121590P0014,343.0871068
144726P0025,333.4453835
140578P0011,0
140588P0070,338.9692031
154083P0040,342.2250682
141593P0020,0
117305P0016,0
139960P0012,323.7454317
151255P0090,333.6784589
19788P00700,0
112718P0022,340.0002094
155456P0015,0
151120P0080,343.7950071
146965P0012,338.5607231
113855P0070,155.8566567
149488P0010,0
154041P0021,0
153304P0010,0
14155P00250,153.8018016
12820P00190,334.8898812
111808P0070,324.9539601
133506P0016,326.428894
154135P0016,0
114335P0013,326.5389173
141351P0013,149.5557872
149505P0024,156.4742643
120975P0015,0
117104P0080,0
125285P0014,351.6957597
115037P0050,351.5287376
131223P0050,0
148226P0018,151.9973552
130173P0020,155.0311921
116478P0011,343.2311655
17342P00500,342.3629037
113587P0010,344.5646589
131045P0017,0
133412P0020,343.3934636
13472P00210,0
113095P0010,151.9312683
150651P0013,154.5877079
152930P0014,0
120155P0017,207.5034805
132571P0013,337.6869262
144427P0050,328.538994
112559P0025,0
114939P0017,156.3452556
133700P0022,0
133782P0015,160.049375
144480P0011,341.2072413
148954P0012,166.8111899
140470P0018,332.9090992
142332P0014,166.6622615
110462P0018,341.1269212
141536P0050,0
120062P0070,0
128024P0012,347.4836113
128795P0019,162.3887284
135110P0017,0
149552P0014,348.2362493
19668P00800,337.8693394
131074P0013,338.290244
152641P0014,341.6507502
147208P0014,155.062364
15823P00600,0
16514P00700,0
121396P0019,338.6124902
15189P00230,327.9045297
112218P0016,0
136695P0023,333.2719318
137638P0015,158.9719234
153728P0070,334.1840975
123015P0022,160.9126271
135176P0025,0
145874P0040,157.7042223
18447P00110,324.9364602
117714P0013,0
114500P0060,0
141088P0060,159.3682445
142045P0050,155.8237449
112845P0011,0
155402P0016,0
146581P0050,341.6656398
135478P0023,340.194394
155098P0080,346.609489
135622P0010,0
152048P0022,156.1186392
136470P0030,338.4727302
133361P0010,342.8025436
132034P0025,324.791167
1143P004000,342.4325615
17028P00150,325.3769236
122562P0015,0
148594P0018,335.7959955
126907P0040,351.9653342
153636P0013,161.9477969
137115P0017,334.1895482
13796P00120,336.6251126
157117P0010,346.7634946
134996P0015,153.8740687
127411P0030,327.0591514
112399P0013,332.9387924
145042P0017,0
115260P0017,331.9388192
11432P00250,340.1990456
137460P0070,158.0076471
19625P00140,340.5240698
144982P0019,0
141252P0090,337.492797
142966P0015,155.4621747
152471P0030,0
152698P0020,347.4917844
147537P0010,155.9301176
131342P0015,0
137767P0025,157.5344114
121689P0040,326.4577831
125150P0090,158.3717186
151314P0017,159.3098274
114599P0060,343.4542401
128841P0016,338.3545605
14510P00180,154.5577167
114690P0013,336.05118
154766P0025,335.3122351
114898P0017,328.3063893
120161P0015,333.5272938
125505P0013,156.3501458
150700P0025,334.0595329
113346P0011,341.5483627
138729P0030,336.3169899
156966P0025,153.7951989
148083P0011,335.5640898
151601P0024,0
155746P0040,0
113468P0040,151.6900967
124925P0019,326.7715735
122857P0060,151.2298271
128316P0023,346.3125519
15998P00110,0
152393P0019,346.5183307
148301P0030,333.99226
125310P0080,165.1674257
152496P0020,156.4973209
155517P0030,161.8451776
138793P0023,0
125482P0022,340.7214398
155872P0010,346.7721388
18950P00900,327.2339433
138052P0090,341.0093678
118678P0090,0
15351P00170,338.6440464
13746P00200,336.1162255
